CALENDAR_YEAR,LOCATION_ID,GROUPING,SUB,EXPERIENCING_HOMELESSNESS_CNT
OCT 2023 to SEP 2024,CA-522,Asian or Asian American,Race Alone,16
OCT 2023 to SEP 2024,CA-522,Asian or Asian American,Race Combination,11
OCT 2023 to SEP 2024,CA-522,"Black, African American, or African",Race Alone,108
OCT 2023 to SEP 2024,CA-522,"Black, African American, or African",Race Combination,39
OCT 2023 to SEP 2024,CA-522,Hispanic/Latina/e/o,Race Alone,69
OCT 2023 to SEP 2024,CA-522,Hispanic/Latina/e/o,Race Combination,178
OCT 2023 to SEP 2024,CA-522,Native Hawaiian or Pacific Islander,Race Alone,13
OCT 2023 to SEP 2024,CA-522,Native Hawaiian or Pacific Islander,Race Combination,24
OCT 2023 to SEP 2024,CA-522,White,Race Alone,1687
OCT 2023 to SEP 2024,CA-522,White,Race Combination,276
OCT 2023 to SEP 2024,CA-522,Middle Eastern or North African,Race Alone,*
OCT 2023 to SEP 2024,CA-522,Middle Eastern or North African,Race Combination,*
OCT 2023 to SEP 2024,CA-523,"American Indian, Alaska Native, or Indigenous",Race Alone,25
OCT 2023 to SEP 2024,CA-523,"American Indian, Alaska Native, or Indigenous",Race Combination,12
OCT 2023 to SEP 2024,CA-523,Asian or Asian American,Race Alone,*
OCT 2023 to SEP 2024,CA-523,Asian or Asian American,Race Combination,*
